OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
22,W38,CG001,Singaperumal Koil,"Singaperumal Koil Main Road, Singaperumal Koil",Singaperumal Koil Main Road,CHGL-10663,12.835377,80.100295,80.100295,12.835377,Full
23,W30,CG001,Chromepet,"Chromepet Market, Chromepet",Chromepet Market,CHGL-10876,12.955594,80.133536,80.133536,12.955594,Empty
24,W11,CG001,Chromepet,"Bus Depot Road, Chromepet",Bus Depot Road,CHGL-10939,12.962882,80.14043,80.14043,12.962882,Empty
25,W31,CG003,Urapakkam,"GST Road Urapakkam, Urapakkam",GST Road Urapakkam,CHGL-10542,12.906118,80.107454,80.107454,12.906118,Full
26,W26,CG001,Kandigai,"Kandigai Market Street, Kandigai",Kandigai Market Street,CHGL-10392,12.822517,80.152619,80.152619,12.822517,Full
27,W48,CG001,Navlur,"Navlur Church Road, Navlur",Navlur Church Road,CHGL-10025,12.853601,80.232445,80.232445,12.853601,Full
28,W27,CG001,Pallavaram,"GST Road Pallavaram, Pallavaram",GST Road Pallavaram,CHGL-10957,12.977985,80.145541,80.145541,12.977985,Full
29,W35,CG001,Padappai,"Padappai Main Road, Padappai",Padappai Main Road,CHGL-10771,12.949731,80.068741,80.068741,12.949731,Full
30,W17,CG007,Perungalathur,"Station Road, Perungalathur",Station Road,CHGL-10831,12.924712,80.093745,80.093745,12.924712,Empty
31,W30,CG001,Pallavaram,"Pallavaram Market, Pallavaram",Pallavaram Market,CHGL-11026,12.973208,80.156738,80.156738,12.973208,Half Full
32,W7,CG001,Singaperumal Koil,"Market Road, Singaperumal Koil",Market Road,CHGL-10627,12.837971,80.090518,80.090518,12.837971,Full
33,W10,CG005,Maraimalai Nagar,"Railway Station Road, Maraimalai Nagar",Railway Station Road,CHGL-10734,12.79548,80.028597,80.028597,12.79548,Full
34,W10,CG001,Thiruporur,"Thiruporur Temple Street, Thiruporur",Thiruporur Temple Street,CHGL-10177,12.745346,80.189562,80.189562,12.745346,Full
35,W2,CG001,Pallavaram,"Chromepet-Pallavaram Road, Pallavaram",Chromepet-Pallavaram Road,CHGL-10983,12.970776,80.144273,80.144273,12.970776,Full
36,W32,CG001,Kelambakkam,"Kelambakkam Market Area, Kelambakkam",Kelambakkam Market Area,CHGL-10147,12.780303,80.212296,80.212296,12.780303,Full
37,W50,CG001,Pallavaram,"Pallavaram Main Road, Pallavaram",Pallavaram Main Road,CHGL-11021,12.982341,80.150914,80.150914,12.982341,Half Full
38,W50,CG001,Guduvanchery,"Guduvanchery Market, Guduvanchery",Guduvanchery Market,CHGL-10575,12.8628,80.05941,80.05941,12.8628,Half Full
39,W21,CG001,Padappai,"GST Road Padappai, Padappai",GST Road Padappai,CHGL-10743,12.952345,80.056361,80.056361,12.952345,Full
40,W42,CG001,Padappai,"Padappai Main Road, Padappai",Padappai Main Road,CHGL-10780,12.942222,80.06495,80.06495,12.942222,Full
41,W22,CG003,Urapakkam,"Urapakkam Bus Stand, Urapakkam",Urapakkam Bus Stand,CHGL-10503,12.902963,80.106859,80.106859,12.902963,Half Full
42,W16,CG001,Chromepet,"GST Road Chromepet, Chromepet",GST Road Chromepet,CHGL-10907,12.956941,80.135958,80.135958,12.956941,Empty
43,W22,CG007,Perungalathur,"Station Road, Perungalathur",Station Road,CHGL-10825,12.913139,80.10146,80.10146,12.913139,Full
44,W19,CG007,Perungalathur,"Perungalathur Main Road, Perungalathur",Perungalathur Main Road,CHGL-10836,12.92419,80.109424,80.109424,12.92419,Full
45,W41,CG001,Guduvanchery,"Guduvanchery Main Road, Guduvanchery",Guduvanchery Main Road,CHGL-10581,12.852623,80.052576,80.052576,12.852623,Empty
46,W50,CG007,Perungalathur,"Perungalathur Junction, Perungalathur",Perungalathur Junction,CHGL-10806,12.923127,80.100602,80.100602,12.923127,Half Full
47,W42,CG001,Chromepet,"GST Road Chromepet, Chromepet",GST Road Chromepet,CHGL-10928,12.959156,80.149432,80.149432,12.959156,Full
48,W24,CG001,Pallavaram,"Pallavaram Market, Pallavaram",Pallavaram Market,CHGL-11020,12.988284,80.141779,80.141779,12.988284,Half Full
49,W15,CG001,Mambakkam,"Mambakkam Bus Stop, Mambakkam",Mambakkam Bus Stop,CHGL-10296,12.869477,80.110263,80.110263,12.869477,Empty
50,W21,CG001,Padappai,"GST Road Padappai, Padappai",GST Road Padappai,CHGL-10767,12.946811,80.054444,80.054444,12.946811,Half Full
51,W18,CG003,Urapakkam,"GST Road Urapakkam, Urapakkam",GST Road Urapakkam,CHGL-10535,12.908458,80.092824,80.092824,12.908458,Full
52,W5,CG001,Kandigai,"Kandigai Junction, Kandigai",Kandigai Junction,CHGL-10391,12.822318,80.156165,80.156165,12.822318,Full
53,W35,CG001,Chromepet,"Chromepet Industrial Area, Chromepet",Chromepet Industrial Area,CHGL-10905,12.959286,80.142158,80.142158,12.959286,Half Full
54,W19,CG001,Singaperumal Koil,"Temple Street, Singaperumal Koil",Temple Street,CHGL-10640,12.838913,80.097402,80.097402,12.838913,Empty
55,W8,CG008,Tambaram,"West Tambaram, Tambaram",West Tambaram,CHGL-10485,12.938737,80.136196,80.136196,12.938737,Full
56,W4,CG001,Padappai,"Padappai Junction, Padappai",Padappai Junction,CHGL-10741,12.941476,80.051916,80.051916,12.941476,Half Full
57,W17,CG008,Tambaram,"Tambaram Main Road, Tambaram",Tambaram Main Road,CHGL-10486,12.930644,80.124982,80.124982,12.930644,Half Full
58,W28,CG001,Padappai,"Padappai Market, Padappai",Padappai Market,CHGL-10794,12.955141,80.050174,80.050174,12.955141,Half Full
59,W22,CG001,Singaperumal Koil,"Market Road, Singaperumal Koil",Market Road,CHGL-10650,12.83876,80.091142,80.091142,12.83876,Full
60,W46,CG001,Mambakkam,"Mambakkam Bus Stop, Mambakkam",Mambakkam Bus Stop,CHGL-10334,12.875526,80.106558,80.106558,12.875526,Full
61,W13,CG001,Guduvanchery,"Guduvanchery Junction, Guduvanchery",Guduvanchery Junction,CHGL-10566,12.864513,80.06579,80.06579,12.864513,Empty
62,W41,CG001,Singaperumal Koil,"Temple Street, Singaperumal Koil",Temple Street,CHGL-10666,12.839752,80.098514,80.098514,12.839752,Empty
63,W7,CG001,Kelambakkam,"Vandalur-Kelambakkam Road, Kelambakkam",Vandalur-Kelambakkam Road,CHGL-10142,12.785898,80.225723,80.225723,12.785898,Empty
64,W31,CG001,Navlur,"Navlur Main Road, Navlur",Navlur Main Road,CHGL-10068,12.862157,80.225002,80.225002,12.862157,Half Full
65,W33,CG005,Maraimalai Nagar,"Maraimalai Nagar Main Road, Maraimalai Nagar",Maraimalai Nagar Main Road,CHGL-10728,12.793287,80.034334,80.034334,12.793287,Half Full
66,W34,CG006,Vandalur,"GST Road Vandalur, Vandalur",GST Road Vandalur,CHGL-10280,12.905387,80.075829,80.075829,12.905387,Empty
67,W48,CG008,Tambaram,"Tambaram Main Road, Tambaram",Tambaram Main Road,CHGL-10477,12.92261,80.134389,80.134389,12.92261,Full
68,W10,CG001,Pallavaram,"Chromepet-Pallavaram Road, Pallavaram",Chromepet-Pallavaram Road,CHGL-10994,12.971332,80.145281,80.145281,12.971332,Half Full
69,W40,CG008,Tambaram,"Tambaram Sanatorium, Tambaram",Tambaram Sanatorium,CHGL-10465,12.930946,80.131783,80.131783,12.930946,Empty
70,W24,CG001,Kandigai,"Kandigai Main Road, Kandigai",Kandigai Main Road,CHGL-10402,12.829195,80.154843,80.154843,12.829195,Half Full
71,W31,CG001,Chromepet,"GST Road Chromepet, Chromepet",GST Road Chromepet,CHGL-10937,12.968533,80.148395,80.148395,12.968533,Half Full
72,W6,CG001,Pallavaram,"Pallavaram Main Road, Pallavaram",Pallavaram Main Road,CHGL-10979,12.97624,80.155337,80.155337,12.97624,Full
73,W47,CG001,Singaperumal Koil,"Singaperumal Koil Main Road, Singaperumal Koil",Singaperumal Koil Main Road,CHGL-10668,12.831416,80.098765,80.098765,12.831416,Full
74,W3,CG001,Kelambakkam,"Kelambakkam Bus Stand, Kelambakkam",Kelambakkam Bus Stand,CHGL-10076,12.783178,80.220895,80.220895,12.783178,Half Full
75,W47,CG003,Urapakkam,"Urapakkam Market, Urapakkam",Urapakkam Market,CHGL-10521,12.914342,80.090134,80.090134,12.914342,Full
76,W48,CG001,Mambakkam,"GST Road Mambakkam, Mambakkam",GST Road Mambakkam,CHGL-10305,12.864309,80.102567,80.102567,12.864309,Full
77,W29,CG001,Singaperumal Koil,"Market Road, Singaperumal Koil",Market Road,CHGL-10625,12.83643,80.092151,80.092151,12.83643,Full
78,W4,CG001,Thiruporur,"Thiruporur Temple Street, Thiruporur",Thiruporur Temple Street,CHGL-10187,12.74283,80.194225,80.194225,12.74283,Full
79,W10,CG005,Maraimalai Nagar,"Market Area, Maraimalai Nagar",Market Area,CHGL-10676,12.781501,80.033039,80.033039,12.781501,Half Full
80,W33,CG001,Kandigai,"Kandigai Market Street, Kandigai",Kandigai Market Street,CHGL-10351,12.831896,80.155693,80.155693,12.831896,Full
81,W29,CG005,Maraimalai Nagar,"Maraimalai Nagar Main Road, Maraimalai Nagar",Maraimalai Nagar Main Road,CHGL-10707,12.795479,80.032021,80.032021,12.795479,Full
82,W6,CG001,Thiruporur,"Mamallapuram Road, Thiruporur",Mamallapuram Road,CHGL-10170,12.741973,80.192876,80.192876,12.741973,Empty
83,W35,CG005,Maraimalai Nagar,"GST Road Maraimalai Nagar, Maraimalai Nagar",GST Road Maraimalai Nagar,CHGL-10702,12.786038,80.031786,80.031786,12.786038,Full
84,W29,CG001,Padappai,"Padappai Main Road, Padappai",Padappai Main Road,CHGL-10783,12.957213,80.064887,80.064887,12.957213,Half Full
85,W19,CG007,Perungalathur,"Perungalathur Main Road, Perungalathur",Perungalathur Main Road,CHGL-10849,12.912497,80.102355,80.102355,12.912497,Half Full
86,W38,CG001,Guduvanchery,"Guduvanchery Bus Stand, Guduvanchery",Guduvanchery Bus Stand,CHGL-10589,12.861622,80.063378,80.063378,12.861622,Full
87,W11,CG001,Padappai,"Padappai Main Road, Padappai",Padappai Main Road,CHGL-10761,12.944395,80.068436,80.068436,12.944395,Full
88,W8,CG001,Pallavaram,"Pallavaram Main Road, Pallavaram",Pallavaram Main Road,CHGL-10952,12.978122,80.146864,80.146864,12.978122,Full
89,W42,CG001,Mambakkam,"GST Road Mambakkam, Mambakkam",GST Road Mambakkam,CHGL-10340,12.863067,80.117165,80.117165,12.863067,Half Full
90,W30,CG001,Kelambakkam,"Kelambakkam Main Road, Kelambakkam",Kelambakkam Main Road,CHGL-10140,12.784982,80.215462,80.215462,12.784982,Full
91,W34,CG001,Chromepet,"Chromepet Market, Chromepet",Chromepet Market,CHGL-10921,12.952379,80.13764,80.13764,12.952379,Empty
92,W9,CG007,Perungalathur,"Perungalathur Junction, Perungalathur",Perungalathur Junction,CHGL-10796,12.922978,80.108319,80.108319,12.922978,Full
93,W20,CG008,Tambaram,"Tambaram Main Road, Tambaram",Tambaram Main Road,CHGL-10438,12.923182,80.124569,80.124569,12.923182,Half Full
94,W2,CG001,Thiruporur,"Thiruporur Bazaar, Thiruporur",Thiruporur Bazaar,CHGL-10165,12.746761,80.194415,80.194415,12.746761,Empty
95,W8,CG003,Urapakkam,"Urapakkam Bus Stand, Urapakkam",Urapakkam Bus Stand,CHGL-10532,12.917332,80.097934,80.097934,12.917332,Half Full
96,W36,CG007,Perungalathur,"Perungalathur Main Road, Perungalathur",Perungalathur Main Road,CHGL-10797,12.919627,80.090342,80.090342,12.919627,Full
97,W41,CG001,Guduvanchery,"Guduvanchery Bus Stand, Guduvanchery",Guduvanchery Bus Stand,CHGL-10599,12.850004,80.060055,80.060055,12.850004,Half Full
98,W8,CG003,Urapakkam,"Urapakkam Bus Stand, Urapakkam",Urapakkam Bus Stand,CHGL-10514,12.907736,80.091987,80.091987,12.907736,Full
99,W21,CG001,Padappai,"GST Road Padappai, Padappai",GST Road Padappai,CHGL-10760,12.9422,80.062453,80.062453,12.9422,Full
100,W18,CG001,Padappai,"Village Road, Padappai",Village Road,CHGL-10776,12.941215,80.055595,80.055595,12.941215,Empty
101,W50,CG003,Urapakkam,"GST Road Urapakkam, Urapakkam",GST Road Urapakkam,CHGL-10522,12.900359,80.108408,80.108408,12.900359,Empty
102,W45,CG003,Urapakkam,"Urapakkam Market, Urapakkam",Urapakkam Market,CHGL-10511,12.919067,80.094087,80.094087,12.919067,Empty
103,W33,CG002,Kandigai,"Kandigai Main Road, Kandigai",Kandigai Main Road,CHGL-10400,12.833344,80.152032,80.152032,12.833344,Full
104,W14,CG002,Chromepet,"Bus Depot Road, Chromepet",Bus Depot Road,CHGL-10861,12.950665,80.140875,80.140875,12.950665,Full
105,W49,CG002,Kandigai,"Kandigai Lake Road, Kandigai",Kandigai Lake Road,CHGL-10394,12.822601,80.158134,80.158134,12.822601,Full
106,W14,CG003,Urapakkam,"Urapakkam Junction, Urapakkam",Urapakkam Junction,CHGL-10536,12.905414,80.104296,80.104296,12.905414,Full
107,W6,CG006,Vandalur,"Vandalur Main Road, Vandalur",Vandalur Main Road,CHGL-10216,12.897607,80.076297,80.076297,12.897607,Half Full
108,W47,CG002,Chromepet,"Chromepet Main Road, Chromepet",Chromepet Main Road,CHGL-10896,12.958026,80.142114,80.142114,12.958026,Empty
109,W34,CG001,Navlur,"Navlur Main Road, Navlur",Navlur Main Road,CHGL-10041,12.846673,80.226213,80.226213,12.846673,Empty
110,W13,CG002,Singaperumal Koil,"GST Road SP Koil, Singaperumal Koil",GST Road SP Koil,CHGL-10648,12.829361,80.097791,80.097791,12.829361,Half Full
111,W17,CG002,Singaperumal Koil,"Bus Stand Road, Singaperumal Koil",Bus Stand Road,CHGL-10635,12.829507,80.098011,80.098011,12.829507,Full
112,W32,CG002,Singaperumal Koil,"Bus Stand Road, Singaperumal Koil",Bus Stand Road,CHGL-10654,12.834646,80.106697,80.106697,12.834646,Empty
113,W27,CG002,Mambakkam,"GST Road Mambakkam, Mambakkam",GST Road Mambakkam,CHGL-10292,12.864477,80.117275,80.117275,12.864477,Half Full
114,W16,CG008,Tambaram,"West Tambaram, Tambaram",West Tambaram,CHGL-10495,12.930035,80.131947,80.131947,12.930035,Full
115,W45,CG002,Padappai,"Padappai Junction, Padappai",Padappai Junction,CHGL-10738,12.951115,80.055484,80.055484,12.951115,Half Full
116,W5,CG002,Mambakkam,"GST Road Mambakkam, Mambakkam",GST Road Mambakkam,CHGL-10289,12.879286,80.100349,80.100349,12.879286,Full
117,W11,CG005,Maraimalai Nagar,"GST Road Maraimalai Nagar, Maraimalai Nagar",GST Road Maraimalai Nagar,CHGL-10713,12.796381,80.030004,80.030004,12.796381,Full
118,W6,CG002,Mambakkam,"Mambakkam Junction, Mambakkam",Mambakkam Junction,CHGL-10306,12.869759,80.115841,80.115841,12.869759,Full
119,W6,CG002,Chromepet,"Bus Depot Road, Chromepet",Bus Depot Road,CHGL-10888,12.967324,80.149402,80.149402,12.967324,Half Full
120,W23,CG002,Guduvanchery,"Guduvanchery Main Road, Guduvanchery",Guduvanchery Main Road,CHGL-10607,12.849722,80.06667,80.06667,12.849722,Empty
121,W7,CG002,Kelambakkam,"Kelambakkam Market Area, Kelambakkam",Kelambakkam Market Area,CHGL-10135,12.781387,80.22893,80.22893,12.781387,Full
122,W32,CG002,Chromepet,"GST Road Chromepet, Chromepet",GST Road Chromepet,CHGL-10859,12.967271,80.142156,80.142156,12.967271,Full
123,W31,CG002,Mambakkam,"Mambakkam Junction, Mambakkam",Mambakkam Junction,CHGL-10335,12.865042,80.110286,80.110286,12.865042,Full
124,W10,CG008,Tambaram,"Selaiyur Main Road, Tambaram",Selaiyur Main Road,CHGL-10424,12.928811,80.124417,80.124417,12.928811,Full
125,W12,CG002,Kelambakkam,"Kelambakkam Main Road, Kelambakkam",Kelambakkam Main Road,CHGL-10093,12.797012,80.223164,80.223164,12.797012,Full
126,W44,CG003,Urapakkam,"Urapakkam Junction, Urapakkam",Urapakkam Junction,CHGL-10545,12.901964,80.10206,80.10206,12.901964,Full
127,W24,CG002,Kelambakkam,"Kelambakkam Main Road, Kelambakkam",Kelambakkam Main Road,CHGL-10106,12.790541,80.225329,80.225329,12.790541,Full
128,W24,CG008,Tambaram,"West Tambaram, Tambaram",West Tambaram,CHGL-10423,12.927808,80.126348,80.126348,12.927808,Full
129,W34,CG002,Kelambakkam,"Kelambakkam Bus Stand, Kelambakkam",Kelambakkam Bus Stand,CHGL-10083,12.796273,80.227683,80.227683,12.796273,Empty
130,W4,CG002,Chromepet,"Chromepet Industrial Area, Chromepet",Chromepet Industrial Area,CHGL-10883,12.968835,80.135656,80.135656,12.968835,Full
131,W33,CG002,Mambakkam,"Mambakkam Main Road, Mambakkam",Mambakkam Main Road,CHGL-10297,12.873086,80.116485,80.116485,12.873086,Half Full
132,W11,CG002,Singaperumal Koil,"GST Road SP Koil, Singaperumal Koil",GST Road SP Koil,CHGL-10619,12.837614,80.092992,80.092992,12.837614,Half Full
133,W16,CG002,Chromepet,"GST Road Chromepet, Chromepet",GST Road Chromepet,CHGL-10926,12.953919,80.143086,80.143086,12.953919,Empty
134,W26,CG003,Urapakkam,"Urapakkam Main Road, Urapakkam",Urapakkam Main Road,CHGL-10496,12.912365,80.090746,80.090746,12.912365,Half Full
135,W47,CG002,Kelambakkam,"Kelambakkam Bus Stand, Kelambakkam",Kelambakkam Bus Stand,CHGL-10100,12.793919,80.212445,80.212445,12.793919,Full
136,W4,CG008,Tambaram,"West Tambaram, Tambaram",West Tambaram,CHGL-10450,12.936174,80.12878,80.12878,12.936174,Empty
137,W17,CG005,Maraimalai Nagar,"Bus Stand Road, Maraimalai Nagar",Bus Stand Road,CHGL-10680,12.78894,80.028578,80.028578,12.78894,Half Full
138,W45,CG002,Padappai,"Padappai Junction, Padappai",Padappai Junction,CHGL-10769,12.950415,80.054298,80.054298,12.950415,Half Full
139,W38,CG003,Urapakkam,"Urapakkam Market, Urapakkam",Urapakkam Market,CHGL-10554,12.904085,80.093858,80.093858,12.904085,Empty
140,W9,CG003,Urapakkam,"Urapakkam Market, Urapakkam",Urapakkam Market,CHGL-10518,12.904322,80.101161,80.101161,12.904322,Half Full
141,W50,CG008,Tambaram,"Tambaram Sanatorium, Tambaram",Tambaram Sanatorium,CHGL-10451,12.924778,80.139252,80.139252,12.924778,Full
142,W20,CG007,Perungalathur,"Market Road, Perungalathur",Market Road,CHGL-10852,12.92385,80.097668,80.097668,12.92385,Half Full
143,W14,CG002,Chromepet,"Chromepet Industrial Area, Chromepet",Chromepet Industrial Area,CHGL-10895,12.967077,80.130381,80.130381,12.967077,Full
144,W23,CG002,Mambakkam,"GST Road Mambakkam, Mambakkam",GST Road Mambakkam,CHGL-10301,12.867186,80.112643,80.112643,12.867186,Empty
145,W43,CG002,Kandigai,"Kandigai Main Road, Kandigai",Kandigai Main Road,CHGL-10397,12.827356,80.145439,80.145439,12.827356,Empty
146,W6,CG003,Urapakkam,"Urapakkam Junction, Urapakkam",Urapakkam Junction,CHGL-10546,12.905632,80.097084,80.097084,12.905632,Full
147,W47,CG002,Kelambakkam,"Kelambakkam Bus Stand, Kelambakkam",Kelambakkam Bus Stand,CHGL-10108,12.785031,80.218358,80.218358,12.785031,Empty
148,W33,CG002,Kandigai,"Kandigai Junction, Kandigai",Kandigai Junction,CHGL-10385,12.839478,80.144411,80.144411,12.839478,Full
149,W18,CG003,Urapakkam,"Urapakkam Junction, Urapakkam",Urapakkam Junction,CHGL-10553,12.91899,80.091899,80.091899,12.91899,Half Full
150,W48,CG001,Navlur,"Navlur Lake Road, Navlur",Navlur Lake Road,CHGL-10046,12.848057,80.229992,80.229992,12.848057,Empty
151,W4,CG005,Maraimalai Nagar,"Railway Station Road, Maraimalai Nagar",Railway Station Road,CHGL-10717,12.780144,80.031373,80.031373,12.780144,Empty
152,W9,CG001,Navlur,"OMR Service Road, Navlur",OMR Service Road,CHGL-10009,12.846379,80.233016,80.233016,12.846379,Full
153,W42,CG002,Kelambakkam,"Kelambakkam Market Area, Kelambakkam",Kelambakkam Market Area,CHGL-10150,12.783202,80.214859,80.214859,12.783202,Full
154,W25,CG006,Vandalur,"Vandalur Zoo Road, Vandalur",Vandalur Zoo Road,CHGL-10270,12.89318,80.072201,80.072201,12.89318,Full
155,W44,CG007,Perungalathur,"Market Road, Perungalathur",Market Road,CHGL-10839,12.910665,80.103726,80.103726,12.910665,Half Full
156,W17,CG002,Thiruporur,"Thiruporur Temple Street, Thiruporur",Thiruporur Temple Street,CHGL-10186,12.744047,80.192147,80.192147,12.744047,Full
157,W41,CG008,Tambaram,"Irumbuliyur Road, Tambaram",Irumbuliyur Road,CHGL-10435,12.929733,80.132641,80.132641,12.929733,Half Full
158,W20,CG001,Navlur,"Navlur Lake Road, Navlur",Navlur Lake Road,CHGL-10042,12.853655,80.239363,80.239363,12.853655,Full
159,W5,CG002,Pallavaram,"Pallavaram Market, Pallavaram",Pallavaram Market,CHGL-10962,12.98071,80.141482,80.141482,12.98071,Empty
160,W13,CG002,Thiruporur,"Thiruporur Bazaar, Thiruporur",Thiruporur Bazaar,CHGL-10189,12.759579,80.193049,80.193049,12.759579,Empty
161,W18,CG003,Urapakkam,"Urapakkam Bus Stand, Urapakkam",Urapakkam Bus Stand,CHGL-10548,12.912632,80.093905,80.093905,12.912632,Empty
162,W11,CG008,Tambaram,"Tambaram Main Road, Tambaram",Tambaram Main Road,CHGL-10449,12.928061,80.122798,80.122798,12.928061,Full
163,W43,CG002,Chromepet,"Chromepet Industrial Area, Chromepet",Chromepet Industrial Area,CHGL-10932,12.965114,80.140418,80.140418,12.965114,Empty
164,W1,CG008,Tambaram,"Tambaram Main Road, Tambaram",Tambaram Main Road,CHGL-10410,12.936295,80.122235,80.122235,12.936295,Half Full
165,W9,CG007,Perungalathur,"Perungalathur Junction, Perungalathur",Perungalathur Junction,CHGL-10841,12.920817,80.092987,80.092987,12.920817,Full
166,W17,CG008,Tambaram,"Tambaram Sanatorium, Tambaram",Tambaram Sanatorium,CHGL-10471,12.935771,80.137065,80.137065,12.935771,Half Full
167,W20,CG007,Perungalathur,"Perungalathur Junction, Perungalathur",Perungalathur Junction,CHGL-10798,12.912459,80.106546,80.106546,12.912459,Full
168,W35,CG002,Kelambakkam,"Kelambakkam Market Area, Kelambakkam",Kelambakkam Market Area,CHGL-10128,12.791073,80.224514,80.224514,12.791073,Full
169,W7,CG001,Navlur,"Navlur Lake Road, Navlur",Navlur Lake Road,CHGL-10031,12.856645,80.233576,80.233576,12.856645,Half Full
170,W48,CG002,Thiruporur,"Thiruporur Main Road, Thiruporur",Thiruporur Main Road,CHGL-10181,12.744695,80.189758,80.189758,12.744695,Half Full
171,W26,CG002,Kandigai,"Kandigai Junction, Kandigai",Kandigai Junction,CHGL-10393,12.821083,80.152967,80.152967,12.821083,Half Full
172,W18,CG002,Kandigai,"Kandigai Lake Road, Kandigai",Kandigai Lake Road,CHGL-10365,12.826401,80.146548,80.146548,12.826401,Full
173,W4,CG007,Perungalathur,"Perungalathur Main Road, Perungalathur",Perungalathur Main Road,CHGL-10812,12.918443,80.107999,80.107999,12.918443,Full
174,W46,CG002,Kelambakkam,"OMR Kelambakkam, Kelambakkam",OMR Kelambakkam,CHGL-10115,12.799898,80.21277,80.21277,12.799898,Empty
175,W39,CG002,Guduvanchery,"Guduvanchery Main Road, Guduvanchery",Guduvanchery Main Road,CHGL-10610,12.864752,80.066353,80.066353,12.864752,Half Full
176,W50,CG002,Guduvanchery,"Guduvanchery Junction, Guduvanchery",Guduvanchery Junction,CHGL-10571,12.860802,80.057764,80.057764,12.860802,Empty
177,W11,CG003,Urapakkam,"Urapakkam Bus Stand, Urapakkam",Urapakkam Bus Stand,CHGL-10508,12.902877,80.103735,80.103735,12.902877,Full
178,W42,CG001,Navlur,"OMR Service Road, Navlur",OMR Service Road,CHGL-10044,12.857149,80.226685,80.226685,12.857149,Full
179,W7,CG002,Mambakkam,"Mambakkam Bus Stop, Mambakkam",Mambakkam Bus Stop,CHGL-10333,12.864906,80.104359,80.104359,12.864906,Half Full
180,W19,CG002,Thiruporur,"Thiruporur Main Road, Thiruporur",Thiruporur Main Road,CHGL-10205,12.755739,80.191211,80.191211,12.755739,Full
